"location","location_qid"
"Московская область, Ново-Огарёво","Q1510282"
"Москва","Q649"
"Москва, Кремль","Q133274"
"Санкт-Петербург","Q656"
"Архангельск","Q1851"
"Северодвинск","Q190499"
"Эр-Рияд","Q3692"
"Абу-Даби","Q187712"
"Пятигорск","Q41970"
"Сириус","Q56433979"
"Сочи","Q39420"
"Минск","Q2280"
"Ростовская область","Q3573"
"Астана","Q1520"
"Москва, Красная Площадь","Q41116"
"Московская область, Королёв","Q155309"
"Пермь","Q915"
"Пекин","Q956"
"Бишкек","Q9361"
"Великий Новгород","Q2235"
"Ижевск","Q5426"
"Благовещенск","Q6934"
"Амурская область","Q6886"
"Приморский край, остров Русский","Q494924"
"Приморский край, Большой Камень","Q105342"
"Саров","Q193522"
"Нижегородская область, село Дивеево","Q3711923"
"Арзамас","Q103789"
"Тверская область, Тургиново","Q3533950"
"Московская область, Солнечногорск","Q196386"
"Курская область, посёлок Поныри","Q4372105"
"Республика Карелия","Q1914"
"Кронштадт","Q155863"
"Мурманск","Q1763"
"Мурманская область, посёлок Белокаменка","Q816129"
"Дербент","Q131416"
"Москва, Александровский Сад","Q1472498"
"Красногорск, Московская область","Q155569"
"Московская область, Подольск","Q19520"
"Тула","Q2770"
"Мариуполь","Q37133"
"Севастополь","Q7525"
"Улан-Удэ","Q6816"
"Архангельская область, посёлок Октябрьский","Q25745"
"Волгоград","Q914"
"Ленинградская область","Q2191"
"Уфа","Q911"
"Керченский пролив","Q187890"
"Ереван","Q1953"
"Тверская область","Q2292"
"Московская область","Q1697"
"Рязанская область","Q2753"
"Самарканд","Q5753"
"Приморский край","Q4341"
"Владивосток","Q959"
"Камчатский край","Q7948"
"Калининград","Q1829"
"Тегеран","Q3616"
"Ашхабад","Q23438"
"Душанбе","Q9365"
"Нью-Дели","Q987"
"Нижегородская область, полигон Мулино","Q4306886"
"Псковская область","Q2218"
"Амурская область, космодром Восточный","Q1166191"
"Нижний Новгород","Q891"
"Республика Башкортостан, Абзелиловский район","Q481602"
"Магнитогорск","Q95449"
"Ленинградская область, остров Коневец","Q37909947"
"Московская область, Жуковский","Q136435"
"Кемерово","Q6066"
"Женева","Q71"
"Саратовская область, Энгельс","Q198748"
"Саратовская область","Q5334"
"Сибирский федеральный округ","Q41979"
"Московская область, Химки","Q197582"
"Тверская область, Завидово","Q4183060"
"Новгородская область","Q2240"
"Тобольск","Q168782"
"Астраханская область","Q3941"
"Республика Крым","Q15966495"
"Керчь","Q157065"
"Тверская область, Ржевский район","Q45605"
"Московская область, Кубинка","Q155902"
"Коммунарка","Q88643858"
"Иваново","Q2630"
"Псков","Q2214"
"Красная Поляна","Q266071"
"Череповец","Q2144"
"Московская область, Красногорск","Q155569"
"Красногорск","Q155569"
"Вифлеем","Q5776"
"Иерусалим","Q1218"
"Израиль","Q801"
"Усмань","Q196907"
"Москва, Дом Правительства","Q844124"
"Берлин","Q64"
"Германия","Q183"
"Ленинградская область, Санкт-Петербург","Q656"
"Ялта","Q128499"
"Крым","Q756294"
"Стамбул","Q406"
"Дамаск","Q3766"
"Супс, Республика Адыгея","Q4446386"
"Керчь – Тамань","Q216664"
"Набережные Челны","Q95041"
"Париж","Q90"
"Нальчик","Q5265"
"Бразилиа","Q2844"
"Омск","Q898"
"Светлогорск","Q193595"
"Будапешт","Q1781"
"Таманский полуостров","Q216664"
"Оренбургская область, полигон «Донгуз»","Q4166125"
"Оренбург","Q5337"
"Анкара","Q3640"
"Махачкала","Q5168"
"Ботлих","Q731724"
"Дагестан","Q5118"
"Улан-Батор","Q23430"
"Тулун, Иркутская область","Q196709"
"Братск","Q132732"
"Казань","Q900"
"Хельсинки","Q1757"
"Борм-ле-Мимоза","Q733035"
"Марсель","Q23482"
"Анапа","Q15758"
"Ленинградская область, остров Гогланд","Q1049578"
"Челябинская область, Магнитогорск","Q95449"
"Иркутская область, Братск","Q132732"
"Иркутская область, Тулун","Q196709"
"Республика Карелия, остров Валаам","Q4102692"
"Екатеринбург","Q887"
"Рим","Q220"
"Ватикан","Q237"
"Осака","Q35765"
"Нур-Султан","Q1520"
"Ахтубинск","Q104201"
"Владивосток, остров Русский","Q494924"
"Чита","Q53139"
"Симферополь","Q19566"
