id,prigozhin_id,datetime,from,to,text
1304,#1851,2023-06-26T14:42:12Z,00:00,00:04.520,Сегодня я открыл пресс-службу и получил тысячи вопросов
1304,#1851,2023-06-26T14:42:12Z,00:04.520,00:07.200,по поводу произошедших событий.
1304,#1851,2023-06-26T14:42:12Z,00:07.200,00:11.440,"Для того, чтобы не было кривотолков, хочу ответить"
1304,#1851,2023-06-26T14:42:12Z,00:11.440,00:13.720,на главные из этих вопросов.
1304,#1851,2023-06-26T14:42:12Z,00:13.720,00:15.720,Первое.
1304,#1851,2023-06-26T14:42:12Z,00:15.720,00:20.800,Какими были предпосылки Маша Справедливости 23-06-23
1304,#1851,2023-06-26T14:42:12Z,00:20.800,00:21.800,года?
1304,#1851,2023-06-26T14:42:12Z,00:21.800,00:25.120,"ЧВК «Вагнер» является, пожалуй, самым опытным и"
1304,#1851,2023-06-26T14:42:12Z,00:25.120,00:29.600,"боеспособным подразделением в России, а возможно и в"
1304,#1851,2023-06-26T14:42:12Z,00:29.600,00:30.600,Европе.
1304,#1851,2023-06-26T14:42:12Z,00:30.600,00:34.880,"Мотивированные, заряженные бойцы, которые выполняли"
1304,#1851,2023-06-26T14:42:12Z,00:34.880,00:37.640,огромное количество задач в интересах Российской
1304,#1851,2023-06-26T14:42:12Z,00:37.640,00:40.360,Федерации и всегда только в интересах Российской
1304,#1851,2023-06-26T14:42:12Z,00:40.360,00:45.960,"Федерации в Африке, в арабских странах и во всем мире."
1304,#1851,2023-06-26T14:42:12Z,00:45.960,00:53.120,Последнее время это подразделение добилось хороших результатов
1304,#1851,2023-06-26T14:42:12Z,00:53.120,00:56.560,"на Украине, выполнив серьезнейшие задачи."
1304,#1851,2023-06-26T14:42:12Z,00:56.560,01:07.320,В результате интриг непродуманных решений это подразделение
1304,#1851,2023-06-26T14:42:12Z,01:07.320,01:11.920,должно было прекратить свое существование 1 июля
1304,#1851,2023-06-26T14:42:12Z,01:11.920,01:14.720,23 года.
1304,#1851,2023-06-26T14:42:12Z,01:14.720,01:18.240,"Собрался Совет Командиров, который довел всю информацию"
1304,#1851,2023-06-26T14:42:12Z,01:18.240,01:19.240,до бойцов.
1304,#1851,2023-06-26T14:42:12Z,01:19.240,01:23.720,Никто не согласился подписывать контракт с Министерством
1304,#1851,2023-06-26T14:42:12Z,01:23.720,01:28.120,"Обороны, поскольку все прекрасно знают из текущей"
1304,#1851,2023-06-26T14:42:12Z,01:28.120,01:32.160,"обстановки своего опыта во время СВО, что это приведет"
1304,#1851,2023-06-26T14:42:12Z,01:32.160,01:34.800,к полной потере боеспособности.
1304,#1851,2023-06-26T14:42:12Z,01:34.800,01:38.920,"Опытные бойцы, опытные командиры просто будут размазаны"
1304,#1851,2023-06-26T14:42:12Z,01:38.920,01:44.760,"и пойдут фактически на мясо, где не смогут использовать"
1304,#1851,2023-06-26T14:42:12Z,01:44.760,01:47.760,свой боевой потенциал и боевой опыт.
1304,#1851,2023-06-26T14:42:12Z,01:47.760,01:53.040,"Те бойцы, которые решили, что они готовы перейти"
