id,domain_id,wikidata_id,date_recorded,url,news_section_url,base_state,entity,allegiance,category,medium,language,name_original,self_described_as,name_en,description_en,activity_start,activity_end,earliest_available_online,license,telegram,vkontakte,twitter,facebook,instagram,youtube,rutube,odnoklassniki,yandex_zen,tiktok,fediverse
1,kherson-news.ru_ru,Q116690554,2023-02-05,https://kherson-news.ru/,https://kherson-news.ru/all/,UA,Kherson,Russia,media,website,ru,Лента новостей Херсона,Последние новости Херсона и Херсонской области оперативно,,,,,,,https://t.me/khersonnewsru,https://vk.com/khersonnewsru,,,,,,,,,
2,t.me_NSDVKhersone_ru,,2023-02-05,https://t.me/NSDVKhersone,,UA,Kherson,Russia,,telegram,ru,На самом деле в Херсоне,Актуальные и последние новости с Херсона и области.,Actually in Kherson,,,,,,https://t.me/NSDVKhersone,,,,,,,,,,
3,t.me_medvedev_telegram_ru,Q115999306,2023-02-05,https://t.me/medvedev_telegram,,RU,,Russia,blog,telegram,ru,Дмитрий Медведев,,Dmitry Medvedev,Dmitry Medvedev's Telegram Channel,2022-03-14,,2022-03-14,,https://t.me/medvedev_telegram,,,,,,,,,,
4,zavtra.ru_ru,Q4183309,2023-02-05,https://zavtra.ru/,,RU,,,media,website,ru,Завтра,,Zavtra,,1993,,,CC-BY,https://t.me/gazeta_zavtra,,https://twitter.com/zavtraru,,,,,,,,
5,apsnypress.info_ru,Q3596042,2023-02-06,https://www.apsnypress.info/ru/,,GE,Abkhazia,,media,website,ru,,,,,,,,,https://t.me/apsnypress,,,,https://www.instagram.com/apsnypress.info/,,,,,,
6,dn.gov.ua_uk,Q4166196,2023-02-08,https://dn.gov.ua/,https://dn.gov.ua/timeline?&type=posts,UA,Donetsk,Ukraine,local_institution,website,uk,Донецька обласна державна адміністрація,,Donetsk regional administration,,,,,CC-BY,,,,https://facebook.com/%D0%9F%D1%80%D0%B5%D1%81-%D1%81%D0%BB%D1%83%D0%B6%D0%B1%D0%B0-%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D1%8C%D0%BA%D0%BE%D1%97-%D0%BE%D0%B1%D0%BB%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%86%D1%96%D1%97-668726333148414/,,https://www.youtube.com/channel/UCe1jl30lg77T5nkICZUYT2w,,,,,
7,pravdnr.ru_ru,Q18635169,2023-02-08,https://pravdnr.ru/,https://pravdnr.ru/news/,UA,Donetsk,Russia,local_institution,website,ru,Правительство Донецкой Народной Республики,,Government of the DNR,,,,,,https://t.me/prav_dnr,https://vk.com/pravitelstvodnr,,,,,https://rutube.ru/channel/23811179/videos/,https://ok.ru/pravitelstvodnr,,,
8,denis-pushilin.ru_ru,Q16514790,2023-02-08,https://denis-pushilin.ru/,,UA,Donetsk,Russia,local_politician,website,ru,Денис Пушилин,Официальный сайт Главы ДНР Дениса Пушилина,Denis Pushilin - Head of DNR,,,,,,https://t.me/pushilindenis,https://vk.com/pushilindenis,,,,,,https://ok.ru/profile/680026878,,,
9,днронлайн.рф_ru,Q16150196,2023-02-09,https://днронлайн.рф/,https://днронлайн.рф/novosti/,UA,Donetsk,Russia,local_institution,website,ru,Донецкая Народная Республика,,Donetsk People's Republic - official website,,,,,,https://t.me/dnronline,https://vk.com/dnr_online_su,,,,,https://rutube.ru/channel/23874587/,https://www.ok.ru/group/54322040406094,,,
10,1tv.ru_ru,Q330067,2023-02-10,https://www.1tv.ru/,,RU,,,media,website,ru,Первый канал,,First Channel (Russia),,,,,,,https://vk.com/1tv,,,,,,https://ok.ru/1tv,,,
11,smotrim.ru_ru,Q108171416,2023-02-10,https://smotrim.ru/,https://smotrim.ru/articles,RU,,,media,website,ru,Смотрим,,,,,,,,https://t.me/smotrim_ru,https://vk.com/smotrim,,,,,,https://ok.ru/group/68835016835126,https://zen.yandex.ru/smotrimru,https://www.tiktok.com/@smotrimru,
12,mil.ru_ru,Q1146492,2023-02-11,https://mil.ru/,http://function.mil.ru/news_page/country.htm,RU,,,national_institution,website,ru,Министерство обороны Российской Федерации,,Ministry of Defence of the Russian Federation,,,,,CC-BY,https://t.me/mod_russia,http://vk.com/mil,https://twitter.com/mod_russia,,,https://youtube.com/channel/UCQGqX5Ndpm4snE0NTjyOJnA,https://rutube.ru/channel/24675435/,https://ok.ru/mil,,,
13,kremlin.ru_ru,Q218295,2023-02-24,http://kremlin.ru/,,RU,,,national_institution,website,ru,Президент России,,President of Russia,,,,,CC-BY,https://t.me/news_kremlin,https://vk.com/kremlin_news,,,,http://www.youtube.ru/user/kremlin,,,,,
14,kremlin.ru_en,Q218295,2023-02-24,http://en.kremlin.ru/,,RU,,,national_institution,website,en,President of Russia,,,,,,,CC-BY,https://t.me/news_kremlin_eng,,,,,http://www.youtube.ru/user/kremlin,,,,,
15,mid-dnr.su_ru,Q56824894,2023-02-28,http://mid-dnr.ru/ru/,,RU,Donetsk,Russia,local_institution,website,ru,Министерство Иностранных Дел Донецкой Народной Республики ,,Ministry of Foreign Affairs of Donetsk People's Republic,,,,,,,https://vk.com/middnr,,,,,,,,,
16,mid.ru_ru,Q789889,2023-02-28,https://www.mid.ru/,https://www.mid.ru/ru/foreign_policy/news/,RU,,,national_institution,website,ru,Министерство иностранных дел Российской Федерации,,Ministry of Foreign Affairs of the Russian Federation,,,,,,,,,,,,,,,,
17,mid.ru_en,Q789889,2023-02-28,https://mid.ru/en/,https://www.mid.ru/en/foreign_policy/news/,RU,,,national_institution,website,en,Ministry of Foreign Affairs of the Russian Federation,,Ministry of Foreign Affairs of the Russian Federation,,,,,,,,,,,,,,,,
18,mfaapsny.org_ru,Q4294395,2023-02-28,http://mfaapsny.org/ru/,http://mfaapsny.org/ru/allnews/,GE,Abkhazia,,local_institution,website,ru,Министерство иностранных дел Республики Абхазия,,Ministry of Foreign Affairs of the Republic of Abkhazia,,,,,,,https://vk.com/midabhazii,https://twitter.com/mid_abkhazia,https://www.facebook.com/mfaapsny,https://www.instagram.com/mfaapsny/,https://www.youtube.com/user/MfaAbkhazia,,,,,
19,mfaapsny.org_en,Q4294395,2023-02-28,http://mfaapsny.org/en/,http://mfaapsny.org/en/allnews/,GE,Abkhazia,,local_institution,website,en,Ministry of Foreign Affairs of the Republic of Abkhazia,,Ministry of Foreign Affairs of the Republic of Abkhazia,,,,,,,,,,,,,,,,
20,novostipmr.com_ru,,2023-03-08,https://novostipmr.com,,MD,Transnistria,,media,website,ru,,,,,,,,,,,,,,,,,,,
21,mid.gospmr.org_ru,Q4294394,2023-03-08,https://mid.gospmr.org/,https://mid.gospmr.org/ru/news,MD,Transnistria,,local_institution,website,ru,Министерства иностранных дел Приднестровской Молдавской Республики,,Ministry of Foreign Affairs of Transnistria,,,,,CC-BY,,,https://twitter.com/MIDPMR,,,https://www.youtube.com/@MidPMR,,,,,
22,dan-news.ru_ru,,2023-03-08,https://dan-news.ru/,,UA,Donetsk,Russia,media,website,ru,Донецкое Агентство Новостей,,Donetsk News Agency,,,,,,,,,,,,,,,,
