doc_id,text,gemma3,owl/t-lite,llama3.2,phi4-mini,phi4
ВЕСТИ_388,"В херсонском отделении ""Меджлиса"" прогремел взрыв.

 http://www.vesti.ru/doc.html?id=2717430 ",Херсон,Херсонское отделение Меджлиса,Kherson; Ukraine,Kherson,Kherson
ВЕСТИ_7356,"Атака на русский язык.

 В Херсоне украинские националисты напали на главу Русской национальной общины ""Русичъ"", учителя русского языка Татьяну Кузьмич. Радикалы облили женщину красной краской.

В сентябре Татьяну обвинили в распространении сепаратистских настроений среди школьников, а в СБУ назвали ""агентом Кремля"", который развернул шпионскую сеть.",Kherson,Kherson,Kherson; Kiev,NA,Kherson
ВЕСТИ_11175,"Его звали Джигурда: СБУ заявила о разоблачении .

Якобы агента ФСБ России по прозвищу Джигурда задержала в Херсонской области Служба безопасности Украины. По их мнению, задержанный работает не только в российском ведомстве, но и на Министерство госбезопасности самопровозглашенной ЛНР. 

В январе 2021 года ему якобы были выплачены деньги за протестные мероприятия на Украине и поручено спровоцировать тарифный майдан.",Kherson region; Luhansk People's Republic,Hersonska oblast; Luhansk People's Republic,Zaporizhzhia region; Luhansk People's Republic,Ukraine; Russia; Kherson region; Donetsk People's Republic,Kherson Oblast
ВЕСТИ_20255,"ФСБ: взрыв газопровода в Крыму, совершенный 23 августа, организован Украиной.

 ФСБ подтвердила факт задержания и арест Наримана Джелялова – зампреда ""Меджлиса крымско-татарского народа"" (запрещен в России) в связи с подрывом участка газопровода в Крыму в августе.

4 сентября  задержаны  посредник Нариман Джелялов и непосредственные исполнители диверсии Асан и Азиз Ахтемовы. В июне текущего года Ахтемовы прошли в Херсоне подготовку по взрывному делу. Известно, что за совершение диверсии военная разведка Украины обещала им денежное вознаграждение около 2000 долларов США. Взрывное устройство конспиративным путем за месяц до диверсии было доставлено в Крым. Акцию планировалось приурочить ко дню независимости Украины.

 @vestiru24 ",Crimea; Herson,"Crimea, Russia; Kherson, Ukraine",Krym; Herson; Russia; Ukraine; Europe,NA,Crimea; Kherson
ВЕСТИ_27091,"В Крыму восстановлена подача воды по Северо-Крымскому каналу.  Он был перекрыт Украиной в 2014 году после воссоединения Крыма с Россией. Вода из Херсонской области обеспечивала до 90% потребностей полуострова.

 Все новости о ситуации на Украине
 @vestiru24 ",Крым; Украина; Херсонская область,Crimea; Kherson region,NA,Crimea; Ukraine,Crimea; Kherson region
ВЕСТИ_27703,"Мародеры разграбили супермаркеты в Херсоне и Мелитополе.  Участников грабежей и последствия их действий снимали на видео местные жители.  

 Смотрим все новости о ситуации на Украине
 @vestiru24 ",Kherson; Melitopol,Херсон; Мелитополь,Kherson; Melitopol,Kherson; Melitopol,Kherson; Melitopole
ВЕСТИ_28143,"Наталья Поклонская совместно с Росгвардией доставила продукты питания и лекарства в Херсонскую область Украины.  По ее словам, из-за отсутствия продуктов первой необходимости и жизненно важных медикаментов люди находятся на грани гуманитарной катастрофы. Также Поклонская обратила внимание на то, что украинские националисты запугивают местное население, если те принимают гуманитарную помощь от России.

 Смотрим подробности
 @vestiru24 ","Kherson Region, Ukraine",Ukraine; Kherson region,NA,"Kherson Oblast, Ukraine",Kherson region
ВЕСТИ_29116,"Транспортные и железнодорожные магистрали между Крымом и Херсонской областью будут восстановлены в самое ближайшее время , сообщил заместитель представителя президента РФ в Южном федеральном округе Кирилл Степанов. Он напомнил: ранее, до воссоединения с Россией, полуостров Крым и материк связывали автомобильные и железнодорожные пути, которые пролегали по узкому перешейку на севере Крыма. В 2015 году власти Украины ввели запрет на все железнодорожные перевозки, таким образом попытавшись заблокировать транспортное сообщение с полуостровом. 

Железнодорожная ветка, связавшая Крым с Херсоном, уже используется, рассказал Степанов. По ней жителям Херсона везут гуманитарную помощь и стройматериалы.

 Смотрим подробности
 @vestiru24 ",Crimea; Kherson Oblast,Crimea; Kherson,Crimea; Zaporizhzhia; Russia; Ukraine,Crimean Peninsula; Kherson region,Crimea; Kherson Region
ВЕСТИ_30214,"В распоряжение российских силовых ведомств в Херсоне попали оперативные документы СБУ.  Помечены они грифом ""совершенно секретно"". В них идет речь о работе силовиков с представителями Украинской православной церкви Московского патриархата, а также казачьих общин, которые определили как пророссийские. Согласно документам, украинская спецслужба считала опасными православные праздники. В некоторых бумагах также говорится о работе СБУ с агентурой в Херсоне, включая псевдонимы сотрудников. Содержатся в документах имена, фамилии и должности сотрудников украинской спецслужбы.

 Смотрим подробности
 @vestiru24 ",Kherson,"Kherson, Ukraine",NA,Kherson,Kherson
ВЕСТИ_31011,"📺 В Херсоне заработали все российские федеральные телеканалы.  Речь идет о каналах первого и второго мультиплекса Российской телевизионной и радиовещательной сети. В первый пакет цифровых входят, в частности,  ""Россия 1"" , ""Россия 24"" и  ""Культура"" . Кроме того, жителям города стало доступно радио  ""Вести ФМ"" .

 Смотрим подробности
 @vestiru24 ",Kherson,Херсон,Herson; Russia,Херсон,Kherson
