doc_id,text,gemma3,owl/t-lite,llama3.2,phi4-mini,phi4
ВЕСТИ_388,"В херсонском отделении ""Меджлиса"" прогремел взрыв.

 http://www.vesti.ru/doc.html?id=2717430 ","В здании Херсонского регионального отделения организации «Меджлис» произошел взрыв. По предварительным данным, есть пострадавшие.","An explosion occurred in the Kherson branch of the Mejlis, a political party.","An explosion occurred at the Kherson Regional Council building in Ukraine, causing significant damage and injuries. The incident is believed to have been caused by a bomb planted inside the building.","An explosion occurred in the building housing the regional council of mosques, known as 'Меджлиса', located in Kherson. The incident has raised concerns about security and safety measures within religious institutions.","An explosion occurred at the Kherson branch of 'Mejlis', a representative body for Crimean Tatars. The incident has drawn significant attention and concern, highlighting ongoing tensions in the region."
ВЕСТИ_7356,"Атака на русский язык.

 В Херсоне украинские националисты напали на главу Русской национальной общины ""Русичъ"", учителя русского языка Татьяну Кузьмич. Радикалы облили женщину красной краской.

В сентябре Татьяну обвинили в распространении сепаратистских настроений среди школьников, а в СБУ назвали ""агентом Кремля"", который развернул шпионскую сеть.","In Kherson, Ukrainian nationalists attacked Tatiana Kuzmich, a Russian language teacher and head of the Russian National Community 'Rusich'. Radical activists splashed her with red paint. In September, she was accused of spreading separatist sentiments among schoolchildren, and the SBU labeled her a 'Kremlev agent' involved in establishing a spy network.","Ukrainian nationalists attacked the head of the Russian National Community ""Rusich"" and a Russian language teacher, Tatiana Kuzmich, in Kherson. The radicals splashed her with red paint.","In Kherson, Ukrainian nationalists attacked the head of the Russian National Community 'Rusich', language teacher Tatyana Kuzmich, who was splashed with red paint by radicals. In September, Tatyana was accused of spreading separatist sentiments among schoolchildren and was named an agent of Kremlin by the SBU.","In Kherson, Ukrainian nationalists attacked Tatyana Kuzmich, a teacher of the Russian language and member of the Russkiy Narodnyi Soyuz community.","In Kherson, Ukrainian nationalists attacked the head of the Russian National Community 'Rusich', language teacher Tatiana Kuzmich. Radicals splashed her with red paint. In September, she was accused of spreading separatist sentiments among schoolchildren and labeled as a 'Kremlin agent' by the SBU for allegedly running a spy network."
ВЕСТИ_11175,"Его звали Джигурда: СБУ заявила о разоблачении .

Якобы агента ФСБ России по прозвищу Джигурда задержала в Херсонской области Служба безопасности Украины. По их мнению, задержанный работает не только в российском ведомстве, но и на Министерство госбезопасности самопровозглашенной ЛНР. 

В январе 2021 года ему якобы были выплачены деньги за протестные мероприятия на Украине и поручено спровоцировать тарифный майдан.","The SBU (Security Service of Ukraine) claims to have uncovered an agent of the Russian FSB (Federal Security Service) known as Dzhigurda, apprehended in the Kherson region. According to the SBU, the detainee works not only for the Russian FSB but also for the Ministry of State Security of the self-proclaimed LPR (Luhansk People's Republic). In January 2021, he allegedly received payments for participating in protests in Ukraine and was tasked with inciting the 'tariff square' (a reference to the 2014 Ukrainian protests).","The Security Service of Ukraine (SBU) has claimed that they have detained an agent named Jigurda, who is allegedly working for both the Russian Federal Security Service and the Ministry of State Security of the self-proclaimed Luhansk People's Republic. According to SBU, this individual was paid in January 2021 to organize protests on Ukraine and instigate a 'tariff revolt'.","The Ukrainian Security Service (SBU) announced that it had detained a Russian agent known as 'Jigurdha' in the Zaporizhzhia region. According to the SBU, the suspect worked not only for the Russian Federal Security Service (FSB), but also for the Ministry of State Security of the self-proclaimed Luhansk People's Republic (LPR). The SBU alleges that Jigurdha was paid $10,000 in January 2021 to organize protests in Ukraine and was tasked with inciting a tariff protest.","According to Ukrainian authorities, Dmytro Yarosh ('Jaguar'), believed to be a Russian Federal Security Service operative working for the self-proclaimed Donetsk People's Republic’s Ministry of State Security as well as conducting anti-Ukrainian protests funded from Russia, was detained in Kherson region by Ukraine's SBU.","The Security Service of Ukraine (SBU) announced the detention of an individual allegedly working for Russia's Federal Security Service (FSB), known by the nickname 'Dzhigurda', in Kherson Oblast. According to SBU, this person is not only employed by the Russian agency but also serves the Ministry of State Security of the self-proclaimed Luhansk People's Republic (LNR). In January 2021, he reportedly received funds for organizing protest activities in Ukraine and was tasked with inciting a 'tariff protest'."
ВЕСТИ_20255,"ФСБ: взрыв газопровода в Крыму, совершенный 23 августа, организован Украиной.

 ФСБ подтвердила факт задержания и арест Наримана Джелялова – зампреда ""Меджлиса крымско-татарского народа"" (запрещен в России) в связи с подрывом участка газопровода в Крыму в августе.

4 сентября  задержаны  посредник Нариман Джелялов и непосредственные исполнители диверсии Асан и Азиз Ахтемовы. В июне текущего года Ахтемовы прошли в Херсоне подготовку по взрывному делу. Известно, что за совершение диверсии военная разведка Украины обещала им денежное вознаграждение около 2000 долларов США. Взрывное устройство конспиративным путем за месяц до диверсии было доставлено в Крым. Акцию планировалось приурочить ко дню независимости Украины.

 @vestiru24 ","The FSB has stated that the August 23rd explosion of a gas pipeline in Crimea was organized by Ukraine. They have arrested and detained Nariman Jelalov, a deputy chairman of the Crimean Tatar Mejlis, along with accomplices Asan and Aziz Ахтемовы, who received training in Херson for explosive operations and were promised a $2000 reward by Ukrainian military intelligence. The explosion was planned to coincide with Ukraine's Independence Day.","The FSB has confirmed the arrest of Nariman Jelalov, deputy chairman of the Crimean Tatar National Medzhlis (banned in Russia), for his involvement in an explosion on a gas pipeline in Crimea. The incident occurred on August 23rd and was organized by Ukraine.","The Federal Security Service (FSB) of Russia has confirmed that Ukraine is behind the explosion of a gas pipeline in Crimea on August 23, and has arrested several individuals involved in the plot.","Russia's Federal Security Service (FSB) confirmed the arrest of Nariman Jeljalov and two accomplices involved in a gas pipeline explosion that occurred 23 August. The FSB also stated this incident was orchestrated by Ukrainian authorities as part of an operation to destabilize Crimea, which is currently under Russian control.","The Federal Security Service of Russia has confirmed the arrest and detention of Nariman Dzhelyalov, a deputy leader of the Mejlis of the Crimean Tatar People (banned in Russia), in connection with an explosion on a gas pipeline in Crimea on August 23. The FSB stated that intermediaries and direct perpetrators of the sabotage, Asan and Aziz Akhtemov, were detained on September 4. In June of this year, the Akhtemov brothers underwent explosives training in Kherson. Ukrainian military intelligence reportedly promised them a reward of approximately $2,000 for carrying out the act of sabotage. The explosive device was covertly delivered to Crimea a month before the planned attack, which coincided with Ukraine's Independence Day."
ВЕСТИ_27091,"В Крыму восстановлена подача воды по Северо-Крымскому каналу.  Он был перекрыт Украиной в 2014 году после воссоединения Крыма с Россией. Вода из Херсонской области обеспечивала до 90% потребностей полуострова.

 Все новости о ситуации на Украине
 @vestiru24 ","Восстановлена подача воды по Северо-Крымскому каналу, который был перекрыт Украиной в 2014 году. Вода из Херсонской области ранее обеспечивала до 90% потребностей полуострова.","The water supply has been restored in Crimea through the North Crimean Canal, which was previously shut off by Ukraine after the peninsula's reunification with Russia in 2014. The canal provided up to 90% of the region's water needs from the Kherson region.","The Russian government claims that Ukraine has blocked the North Crimean Channel, which was previously used to supply water from the Kherson region to Crimea.","The water supply for the peninsula has been restored through the North Crimean Canal, which was blocked by Ukraine in 2014 after Russia's annexation. The canal previously supplied up to 90% of Crimea’s needs from Herson region.","The water supply through the North Crimean Canal has been restored in Crimea. The canal, which was blocked by Ukraine in 2014 following Crimea's reunification with Russia, previously supplied up to 90% of the peninsula's water needs from the Kherson region."
ВЕСТИ_27703,"Мародеры разграбили супермаркеты в Херсоне и Мелитополе.  Участников грабежей и последствия их действий снимали на видео местные жители.  

 Смотрим все новости о ситуации на Украине
 @vestiru24 ","Loots have plundered supermarkets in Kherson and Melitopol, filmed by local residents.  Watch all news about the situation in Ukraine","Residents of Kherson and Melitopol captured footage of looters targeting supermarkets, as chaos ensued following Russian military occupation.","Armed men have robbed several supermarkets in the Ukrainian cities of Kherson and Melitopol. Locals recorded the incidents on video, which has been shared widely on social media.",Residents of Ukraine's southern regions have reported looting at several supermarket chains. Footage taken by local citizens shows the perpetrators.,"Thieves have attacked supermarkets in the cities of Kherson and Melitopole. Local residents captured footage of the incidents, documenting both the perpetrators and the aftermath of their actions."
ВЕСТИ_28143,"Наталья Поклонская совместно с Росгвардией доставила продукты питания и лекарства в Херсонскую область Украины.  По ее словам, из-за отсутствия продуктов первой необходимости и жизненно важных медикаментов люди находятся на грани гуманитарной катастрофы. Также Поклонская обратила внимание на то, что украинские националисты запугивают местное население, если те принимают гуманитарную помощь от России.

 Смотрим подробности
 @vestiru24 ","Natalya Poklonskaya, in collaboration with the Russian National Guard, has delivered food and medications to the Kherson region of Ukraine. According to her, due to the lack of essential food and vital medicines, people are on the brink of a humanitarian catastrophe. Poklonskaya also noted that Ukrainian nationalists are intimidating local residents who accept humanitarian aid from Russia.","Natalia Poklonskaya, a Russian politician and former Ukrainian MP, has recently delivered humanitarian aid to the occupied territories of Ukraine. She claims that people in the region are facing dire conditions due to lack of food and medicine, while nationalist groups threaten those who accept help from Russia.","Russian MP Natalia PoklonSKaya, accompanied by the Russian National Guard, delivered humanitarian aid to the Kherson region of Ukraine. She stated that due to the lack of essential food products and life-saving medications, people are on the brink of a humanitarian catastrophe. Additionally, she noted that Ukrainian nationalists are intimidating local residents who accept humanitarian assistance from Russia.","Natalia Poklonskaya, together with the Russian Federal Security Service (FSB), delivered essential goods such as food supplies and medications to the Kherson Oblast of Ukraine. She expressed concern over a looming humanitarian disaster due to shortages of basic necessities like medicines that are vital for survival.","Natalya Poklonskaya, alongside the Russian National Guard (Rosgvardiya), delivered food and medicines to the Kherson region in Ukraine. She stated that due to a lack of essential goods and critical medications, people are on the brink of a humanitarian crisis. Additionally, she highlighted that Ukrainian nationalists intimidate locals who accept aid from Russia."
ВЕСТИ_29116,"Транспортные и железнодорожные магистрали между Крымом и Херсонской областью будут восстановлены в самое ближайшее время , сообщил заместитель представителя президента РФ в Южном федеральном округе Кирилл Степанов. Он напомнил: ранее, до воссоединения с Россией, полуостров Крым и материк связывали автомобильные и железнодорожные пути, которые пролегали по узкому перешейку на севере Крыма. В 2015 году власти Украины ввели запрет на все железнодорожные перевозки, таким образом попытавшись заблокировать транспортное сообщение с полуостровом. 

Железнодорожная ветка, связавшая Крым с Херсоном, уже используется, рассказал Степанов. По ней жителям Херсона везут гуманитарную помощь и стройматериалы.

 Смотрим подробности
 @vestiru24 ","According to Deputy Presidential Representative in the Southern Federal District, Kirill Stepanov, transport and railway магистраles between Crimea and Kherson Oblast will be restored soon. He noted that before reunification with Russia, the peninsula and the mainland were connected by automobile and railway routes across the narrow peninsula. In 2015, Ukrainian authorities banned all railway transport, attempting to block transport links to the peninsula. The railway line connecting Crimea with Kherson is already in use, Stepanov said, and is used to transport humanitarian aid and building materials to Kherson residents. ","The transport links between Crimea and the Kherson region will be restored in the near future, according to Deputy Representative of the President of Russia in the Southern Federal District Kirill Stepanov. He reminded that before reunification with Russia, the peninsula was connected by both road and rail to mainland Ukraine via a narrow isthmus in northern Crimea. In 2015, Ukrainian authorities imposed a ban on all railway traffic as an attempt to block transport links to the peninsula.","The Kremlin has announced plans to restore a railway link between Crimea and the Zaporizhzhia region in Ukraine, which was severed after Russia's annexation of Crimea in 2014.","The transportation links between the Crimean Peninsula, which is part of Russia since its annexation in March 2014, and Ukraine's Kherson region will be restored as soon as possible. The railway connecting these two regions was previously used for transporting humanitarian aid to Crimea before it became inaccessible due to a ban imposed by Ukrainian authorities following their loss of control over the peninsula.","The transport and railway routes between Crimea and the Kherson region are set to be restored soon, as announced by Kirill Stepanov, Deputy Representative of the President of Russia in the Southern Federal District. Previously, before reunification with Russia, these areas were connected via roads and railways across a narrow isthmus in northern Crimea. In 2015, Ukrainian authorities banned all railway transportations to block communication with the peninsula. Currently, the railway line connecting Crimea with Kherson is already operational for delivering humanitarian aid and construction materials to residents of Kherson."
ВЕСТИ_30214,"В распоряжение российских силовых ведомств в Херсоне попали оперативные документы СБУ.  Помечены они грифом ""совершенно секретно"". В них идет речь о работе силовиков с представителями Украинской православной церкви Московского патриархата, а также казачьих общин, которые определили как пророссийские. Согласно документам, украинская спецслужба считала опасными православные праздники. В некоторых бумагах также говорится о работе СБУ с агентурой в Херсоне, включая псевдонимы сотрудников. Содержатся в документах имена, фамилии и должности сотрудников украинской спецслужбы.

 Смотрим подробности
 @vestiru24 ","Operational documents classified as ""strictly secret"" belonging to the SBU have been obtained by Russian security agencies in Kherson. The documents detail the SBU's work with representatives of the Ukrainian Orthodox Church of Moscow Patriarchate and Cossack communities, which were identified as pro-Russian. The documents also mention the SBU's concern about Orthodox religious holidays and detail its work with informants in Kherson, including their pseudonyms and the names and positions of Ukrainian security personnel.","The Russian security forces have gained access to sensitive documents from the Ukrainian Security Service (SBU) in the occupied city of Kherson. These documents, marked as 'top secret,' reveal details about their operations targeting pro-Russian elements within the local population, including members of the Ukrainian Orthodox Church and various Kazakh communities. The SBU also appears to have been monitoring religious events such as holidays, viewing them as potential threats. The papers contain names, positions, and pseudonyms of SBU agents operating in the region.","The Ukrainian Security Service (SBU) has been caught red-handed in Crimea, with documents showing that they have been working closely with Russian authorities and even using the same psevdonyms as their Russian counterparts. The SBU has also been accused of collaborating with pro-Russian groups within the Ukrainian Orthodox Church and other organizations.","Operative documents from the Ukrainian Security Service (SBU) with a 'Top Secret' classification have fallen into Russian security hands. The papers discuss cooperation between local law enforcement and representatives of the Moscow Patriarchate's Orthodox Church, as well as Cossack communities deemed pro-Russian by Ukraine. According to these reports, SBU viewed certain religious holidays in Ukraine as dangerous.","Russian security agencies have obtained operational documents from the Ukrainian Security Service (SBU) marked 'top secret'. These documents discuss interactions with representatives of the Ukrainian Orthodox Church of the Moscow Patriarchate and certain Cossack communities identified as pro-Russian. The SBU considered religious holidays to be potential threats. Additionally, the documents contain names, surnames, and positions of SBU employees, along with details about agents operating in Kherson under pseudonyms."
ВЕСТИ_31011,"📺 В Херсоне заработали все российские федеральные телеканалы.  Речь идет о каналах первого и второго мультиплекса Российской телевизионной и радиовещательной сети. В первый пакет цифровых входят, в частности,  ""Россия 1"" , ""Россия 24"" и  ""Культура"" . Кроме того, жителям города стало доступно радио  ""Вести ФМ"" .

 Смотрим подробности
 @vestiru24 ","All Russian federal TV channels, including Russia 1, Russia 24, and Kultura, have started broadcasting in Kherson. Residents of the city can also listen to the radio station Vesti FM.","Russian federal television channels, including the First and Second multiplexes of the Russian Television and Radio Broadcasting Network, have become accessible to viewers in Kherson. This includes popular channels such as 'Russia 1', 'Russia 24' and 'Culture'. Additionally, residents can now listen to 'Vesti FM' radio.","The city of Herson has gained access to all Russian federal television channels, including the first and second multiplexes of the Russian Television and Radio Broadcasting Network. The first package includes channels such as Russia 1, Russia 24, and Culture, while residents also have access to the FM radio station Vesti FM.","In Kherson, all the first and second multiplexes of Russia's television network have been activated. This includes 'Russia-1', 'Russia-24' ('Vesti FM'), and 'Culture'.","In Kherson, all federal television channels of the Russian Television and Radio Broadcasting Network have become accessible. This includes channels from both the first and second multiplexes such as 'Russia 1', 'Russia 24', and 'Culture'. Additionally, residents now have access to the radio station 'Vesti FM'."
