doc_id,text,gemma3,owl/t-lite,llama3.2,phi4-mini,phi4
ВЕСТИ_388,"В херсонском отделении ""Меджлиса"" прогремел взрыв.

 http://www.vesti.ru/doc.html?id=2717430 ",Херсон; Меджлис; Взрыв; Украина,Mejlis; Kherson; Explosion,ukraine; kherson regional council; explosion; bomb; injuries; damage,Kherson; Explosion; Mosque; Mediation Council,explosion; Kherson; Medjlis; Crimea; security; Tatar community
ВЕСТИ_7356,"Атака на русский язык.

 В Херсоне украинские националисты напали на главу Русской национальной общины ""Русичъ"", учителя русского языка Татьяну Кузьмич. Радикалы облили женщину красной краской.

В сентябре Татьяну обвинили в распространении сепаратистских настроений среди школьников, а в СБУ назвали ""агентом Кремля"", который развернул шпионскую сеть.",Ukraine; Russia; Kherson; Russian Language; Separatism; SBU; Red Paint; Tatiana Kuzmich; Rusich,Russian Language Teacher; Attack; Ukraine; Nationalism,Russia; Ukraine; Nationalism; Language; Education,Ukraine; Russian language; nationalism; violence,Kherson; Ukrainian nationalists; Russian National Community; Tatiana Kuzmich; separatism; SBU; spy allegations
ВЕСТИ_11175,"Его звали Джигурда: СБУ заявила о разоблачении .

Якобы агента ФСБ России по прозвищу Джигурда задержала в Херсонской области Служба безопасности Украины. По их мнению, задержанный работает не только в российском ведомстве, но и на Министерство госбезопасности самопровозглашенной ЛНР. 

В январе 2021 года ему якобы были выплачены деньги за протестные мероприятия на Украине и поручено спровоцировать тарифный майдан.",Ukraine; Russia; FSB; SBU; LPR; Intelligence; Conflict; Disinformation,Ukraine; Security Services; Protests; Jigurda,Russia; Ukraine; SBU; Jigurdha,Dmytro Yarosh; Jaguar; FSB agent; Russian FSB; Donetsk People’s Republic; SBU; Kherson Region,FSB; SBU; Dzhigurda; Kherson Oblast; Ukraine; Russia; Luhansk People's Republic; protest activities
ВЕСТИ_20255,"ФСБ: взрыв газопровода в Крыму, совершенный 23 августа, организован Украиной.

 ФСБ подтвердила факт задержания и арест Наримана Джелялова – зампреда ""Меджлиса крымско-татарского народа"" (запрещен в России) в связи с подрывом участка газопровода в Крыму в августе.

4 сентября  задержаны  посредник Нариман Джелялов и непосредственные исполнители диверсии Асан и Азиз Ахтемовы. В июне текущего года Ахтемовы прошли в Херсоне подготовку по взрывному делу. Известно, что за совершение диверсии военная разведка Украины обещала им денежное вознаграждение около 2000 долларов США. Взрывное устройство конспиративным путем за месяц до диверсии было доставлено в Крым. Акцию планировалось приурочить ко дню независимости Украины.

 @vestiru24 ",FSB; Ukraine; Crimea; Gas Pipeline; Explosion; Mejlis; Military Intelligence; Crimean Tatars,FSB; Crimea; Gas Pipeline Explosion; Ukraine; Nariman Jelalov,Russia; Ukraine; Crimea; Gas Pipeline Explosion; FSB; Arrests; Nariman Jelavov; Asan Ahtemov; Aziz Ahtemov,Russia; Ukraine; Crimea; Gas Pipeline Explosion; Nariman Jeljalov,FSB; Crimea; gas pipeline explosion; Ukraine; Nariman Dzhelyalov; Mejlis of the Crimean Tatar People; Asan Akhtemov; Aziz Akhtemov; sabotage; military intelligence
ВЕСТИ_27091,"В Крыму восстановлена подача воды по Северо-Крымскому каналу.  Он был перекрыт Украиной в 2014 году после воссоединения Крыма с Россией. Вода из Херсонской области обеспечивала до 90% потребностей полуострова.

 Все новости о ситуации на Украине
 @vestiru24 ",Крым; Северо-Крымский канал; Украина; Вода; Восстановление; Херсонская область,Crimea; Water Supply; North Crimean Canal; Ukraine-Russia Relations,NA,NA,Crimea; North Crimean Canal; Ukraine-Russia relations; water supply; Kherson region
ВЕСТИ_27703,"Мародеры разграбили супермаркеты в Херсоне и Мелитополе.  Участников грабежей и последствия их действий снимали на видео местные жители.  

 Смотрим все новости о ситуации на Украине
 @vestiru24 ",Ukraine; Kherson; Melitopol; supermarkets; looting; crime; war,Ukraine War; Occupation; Looting; Kherson; Melitopol,Ukraine; Kherson; Melitopol; armed robbery; supermarkets; local footage; video recording,Ukraine; Crime; Looting; Supermarket attack,Ukraine; Kherson; Melitopole; Robbery; Supermarkets; Local News
ВЕСТИ_28143,"Наталья Поклонская совместно с Росгвардией доставила продукты питания и лекарства в Херсонскую область Украины.  По ее словам, из-за отсутствия продуктов первой необходимости и жизненно важных медикаментов люди находятся на грани гуманитарной катастрофы. Также Поклонская обратила внимание на то, что украинские националисты запугивают местное население, если те принимают гуманитарную помощь от России.

 Смотрим подробности
 @vestiru24 ",Natalya Poklonskaya; Russian National Guard; Kherson Region; Ukraine; Humanitarian Aid; Ukrainian Nationalists,Natalia Poklonskaya; Russia-Ukraine conflict; humanitarian aid; Kherson Region,NA,Natalia Poklonskaya; Russia-Ukraine War; humanitarian crisis in Ukraine,Natalya Poklonskaya; Rosgvardiya; humanitarian aid; Kherson region; Ukraine; food and medicine delivery; humanitarian crisis; Russian-Ukrainian relations
ВЕСТИ_29116,"Транспортные и железнодорожные магистрали между Крымом и Херсонской областью будут восстановлены в самое ближайшее время , сообщил заместитель представителя президента РФ в Южном федеральном округе Кирилл Степанов. Он напомнил: ранее, до воссоединения с Россией, полуостров Крым и материк связывали автомобильные и железнодорожные пути, которые пролегали по узкому перешейку на севере Крыма. В 2015 году власти Украины ввели запрет на все железнодорожные перевозки, таким образом попытавшись заблокировать транспортное сообщение с полуостровом. 

Железнодорожная ветка, связавшая Крым с Херсоном, уже используется, рассказал Степанов. По ней жителям Херсона везут гуманитарную помощь и стройматериалы.

 Смотрим подробности
 @vestiru24 ",Crimea; Kherson Oblast; Transport; Railways; Russia; Ukraine; Humanitarian Aid,Crimea; Kherson Region; Transport Links; Railway Restoration,Russia; Ukraine; Crimea; Zaporizhzhia; Railway Link; Kremlin; Annexation; Transportation; Infrastructure; Reconstruction; Humanitarian Aid; Strategic Importance,Crimea; Ukraine; Transport connections; Railway links,Crimea; Kherson Region; Transport Restoration; Railway Routes; Russia-Ukraine Relations
ВЕСТИ_30214,"В распоряжение российских силовых ведомств в Херсоне попали оперативные документы СБУ.  Помечены они грифом ""совершенно секретно"". В них идет речь о работе силовиков с представителями Украинской православной церкви Московского патриархата, а также казачьих общин, которые определили как пророссийские. Согласно документам, украинская спецслужба считала опасными православные праздники. В некоторых бумагах также говорится о работе СБУ с агентурой в Херсоне, включая псевдонимы сотрудников. Содержатся в документах имена, фамилии и должности сотрудников украинской спецслужбы.

 Смотрим подробности
 @vestiru24 ",Russia; Ukraine; SBU; Kherson; Orthodox Church; Cossacks; Intelligence; Security; Conflict,Ukraine-Russia Conflict; Security Services; Occupied Territories; SBU Documents,NA,Russia; Ukraine; SBU; Secret Documents,Ukraine; Russia; Security Services; SBU Documents; Kherson; Orthodox Church; Cossack Communities; Espionage
ВЕСТИ_31011,"📺 В Херсоне заработали все российские федеральные телеканалы.  Речь идет о каналах первого и второго мультиплекса Российской телевизионной и радиовещательной сети. В первый пакет цифровых входят, в частности,  ""Россия 1"" , ""Россия 24"" и  ""Культура"" . Кроме того, жителям города стало доступно радио  ""Вести ФМ"" .

 Смотрим подробности
 @vestiru24 ",Kherson; Russia; TV; Radio; Vesti FM; Russia 1; Russia 24; Kultura,Russian TV; Kherson; Broadcasting,Russia; TV Channels; Herson; Ukraine,Kherson; TV channels; Russia TV Network,Kherson; Russian TV Channels; Digital Broadcasting; Multiplex; Russia 1; Russia 24; Culture; Vesti FM
