doc_id,text,gemma3,owl/t-lite,llama3.2,phi4-mini,phi4
ВЕСТИ_388,"В херсонском отделении ""Меджлиса"" прогремел взрыв.

 http://www.vesti.ru/doc.html?id=2717430 ",В Херсове прогремел взрыв в здании «Меджлиса»,Explosion at Kherson Branch of Mejlis,Ukraine News | Explosion at Kherson Regional Council building,Explosion at Kherson Regional Council of Mosques,Explosion in Kherson Branch of 'Medjlis'
ВЕСТИ_7356,"Атака на русский язык.

 В Херсоне украинские националисты напали на главу Русской национальной общины ""Русичъ"", учителя русского языка Татьяну Кузьмич. Радикалы облили женщину красной краской.

В сентябре Татьяну обвинили в распространении сепаратистских настроений среди школьников, а в СБУ назвали ""агентом Кремля"", который развернул шпионскую сеть.",Attack on the Russian Language: Assault on Tatiana Kuzmich in Kherson,Attack on a Russian teacher in Ukraine,Attack on the Russian Language,Attack on Russian Language Advocate in Ukraine,Attack on Russian Language in Kherson
ВЕСТИ_11175,"Его звали Джигурда: СБУ заявила о разоблачении .

Якобы агента ФСБ России по прозвищу Джигурда задержала в Херсонской области Служба безопасности Украины. По их мнению, задержанный работает не только в российском ведомстве, но и на Министерство госбезопасности самопровозглашенной ЛНР. 

В январе 2021 года ему якобы были выплачены деньги за протестные мероприятия на Украине и поручено спровоцировать тарифный майдан.",Dzhigurda: SBU Claims to Have Discovered an Agent,His Name Was Jigurda: Security Service of Ukraine Claims to Have Exposed Agent,Ukrainian Security Service Claims to Have Caught Russian Agent 'Jigurdha' in Zaporizhzhia Region,"Dmytro Yarosh, alias 'Jaguar', allegedly an FSB agent detained by Ukraine's SBU",SBU Claims to Have Uncovered an FSB Agent Known as 'Dzhigurda'
ВЕСТИ_20255,"ФСБ: взрыв газопровода в Крыму, совершенный 23 августа, организован Украиной.

 ФСБ подтвердила факт задержания и арест Наримана Джелялова – зампреда ""Меджлиса крымско-татарского народа"" (запрещен в России) в связи с подрывом участка газопровода в Крыму в августе.

4 сентября  задержаны  посредник Нариман Джелялов и непосредственные исполнители диверсии Асан и Азиз Ахтемовы. В июне текущего года Ахтемовы прошли в Херсоне подготовку по взрывному делу. Известно, что за совершение диверсии военная разведка Украины обещала им денежное вознаграждение около 2000 долларов США. Взрывное устройство конспиративным путем за месяц до диверсии было доставлено в Крым. Акцию планировалось приурочить ко дню независимости Украины.

 @vestiru24 ",FSB Claims Ukraine Organized Gas Pipeline Explosion in Crimea,"FSB: Gas Pipeline Explosion in Crimea, Organized by Ukraine",Ukraine Accused of Organizing August Gas Pipeline Blast in Crimea,"FSB: Explosion on Gas Pipeline in Crimea, Orchestrated by Ukraine",FSB Confirms Ukrainian Involvement in Crimea Gas Pipeline Explosion
ВЕСТИ_27091,"В Крыму восстановлена подача воды по Северо-Крымскому каналу.  Он был перекрыт Украиной в 2014 году после воссоединения Крыма с Россией. Вода из Херсонской области обеспечивала до 90% потребностей полуострова.

 Все новости о ситуации на Украине
 @vestiru24 ",Крым восстановил подачу воды по Северо-Крымскому каналу,Water Supply Restored in Crimea via the North Crimean Canal,Kremlin says Ukraine has closed the North Crimean Channel,Restoration of Water Supply to Crimea via North Crimean Canal,Water Supply Restored to Crimea via North Crimean Canal
ВЕСТИ_27703,"Мародеры разграбили супермаркеты в Херсоне и Мелитополе.  Участников грабежей и последствия их действий снимали на видео местные жители.  

 Смотрим все новости о ситуации на Украине
 @vestiru24 ","Loots plunder supermarkets in Kherson and Melitopol, filmed by local residents",Marauders Loot Supermarkets in Kherson and Melitopol: Locals Document the Chaos,"Ukraine: Armed men rob supermarkets in Kherson and Melitopol, locals record the incident on video","Looters attacked supermarkets in Kherson and Melitopol, locals captured footage",Robbers Raid Supermarkets in Kherson and Melitopole
ВЕСТИ_28143,"Наталья Поклонская совместно с Росгвардией доставила продукты питания и лекарства в Херсонскую область Украины.  По ее словам, из-за отсутствия продуктов первой необходимости и жизненно важных медикаментов люди находятся на грани гуманитарной катастрофы. Также Поклонская обратила внимание на то, что украинские националисты запугивают местное население, если те принимают гуманитарную помощь от России.

 Смотрим подробности
 @vestiru24 ","Natalya Poklonskaya, Together with the Russian National Guard, Delivers Food and Medicine to the Kherson Region of Ukraine",Natalia Poklonskaya Delivers Aid to Ukraine's Kherson Region,Russian MP Natalia PoklonSKaya Delivers Humanitarian Aid to Ukraine's Kherson Region,Natalia Poklonskaya delivers food and medicines to Kherson region in Ukraine amid humanitarian crisis,Natalya Poklonskaya Delivers Aid to Kherson Region with Rosgvardiya
ВЕСТИ_29116,"Транспортные и железнодорожные магистрали между Крымом и Херсонской областью будут восстановлены в самое ближайшее время , сообщил заместитель представителя президента РФ в Южном федеральном округе Кирилл Степанов. Он напомнил: ранее, до воссоединения с Россией, полуостров Крым и материк связывали автомобильные и железнодорожные пути, которые пролегали по узкому перешейку на севере Крыма. В 2015 году власти Украины ввели запрет на все железнодорожные перевозки, таким образом попытавшись заблокировать транспортное сообщение с полуостровом. 

Железнодорожная ветка, связавшая Крым с Херсоном, уже используется, рассказал Степанов. По ней жителям Херсона везут гуманитарную помощь и стройматериалы.

 Смотрим подробности
 @vestiru24 ",Restoration of Transport Links Between Crimea and Kherson Oblast,Transport and Railway Links Between Crimea and Kherson Region to Be Restored Soon,Kremlin says Crimea rail link to Zaporizhzhia will be restored soon,Reconstruction of Transport and Railway Connections Between Crimea and Kherson Region,Restoration of Transport and Railway Routes Between Crimea and Kherson Region
ВЕСТИ_30214,"В распоряжение российских силовых ведомств в Херсоне попали оперативные документы СБУ.  Помечены они грифом ""совершенно секретно"". В них идет речь о работе силовиков с представителями Украинской православной церкви Московского патриархата, а также казачьих общин, которые определили как пророссийские. Согласно документам, украинская спецслужба считала опасными православные праздники. В некоторых бумагах также говорится о работе СБУ с агентурой в Херсоне, включая псевдонимы сотрудников. Содержатся в документах имена, фамилии и должности сотрудников украинской спецслужбы.

 Смотрим подробности
 @vestiru24 ",Operational Documents of SBU Fell into the Hands of Russian Security Agencies in Kherson,Russian Security Forces Acquire SBU Documents in Kherson: Details and Implications,Ukrainian Secret Service Operatives Caught Red-Handed in Crimea,Russian Security Agencies in Kherson Obtain Secret SBU Documents,Ukrainian Security Service Documents Seized in Kherson
ВЕСТИ_31011,"📺 В Херсоне заработали все российские федеральные телеканалы.  Речь идет о каналах первого и второго мультиплекса Российской телевизионной и радиовещательной сети. В первый пакет цифровых входят, в частности,  ""Россия 1"" , ""Россия 24"" и  ""Культура"" . Кроме того, жителям города стало доступно радио  ""Вести ФМ"" .

 Смотрим подробности
 @vestiru24 ",Russian Federal TV Channels Launched in Kherson,All Russian federal TV channels are now available in Kherson,Herson gets all Russian federal TV channels,All Russian federal TV channels launched in Kherson,All Russian Federal TV Channels Now Available in Kherson
