datetime,text,llama3.2,phi4,phi4-mini,gemma2,gemma3,olmo2,deepseek-r1:8b,mistral,owl/t-lite,akdengi/saiga-gemma2,lakomoor/vikhr-llama-3.2-1b-instruct:1b,about_military_total
2016-02-07T09:18:24Z,"В херсонском отделении ""Меджлиса"" прогремел взрыв.

 http://www.vesti.ru/doc.html?id=2717430 ",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5
2020-10-06T14:31:57Z,"Атака на русский язык.

 В Херсоне украинские националисты напали на главу Русской национальной общины ""Русичъ"", учителя русского языка Татьяну Кузьмич. Радикалы облили женщину красной краской.

В сентябре Татьяну обвинили в распространении сепаратистских настроений среди школьников, а в СБУ назвали ""агентом Кремля"", который развернул шпионскую сеть.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4
2021-01-23T17:40:17Z,"Его звали Джигурда: СБУ заявила о разоблачении .

Якобы агента ФСБ России по прозвищу Джигурда задержала в Херсонской области Служба безопасности Украины. По их мнению, задержанный работает не только в российском ведомстве, но и на Министерство госбезопасности самопровозглашенной ЛНР. 

В январе 2021 года ему якобы были выплачены деньги за протестные мероприятия на Украине и поручено спровоцировать тарифный майдан.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,7
2021-09-07T08:34:27Z,"ФСБ: взрыв газопровода в Крыму, совершенный 23 августа, организован Украиной.

 ФСБ подтвердила факт задержания и арест Наримана Джелялова – зампреда ""Меджлиса крымско-татарского народа"" (запрещен в России) в связи с подрывом участка газопровода в Крыму в августе.

4 сентября  задержаны  посредник Нариман Джелялов и непосредственные исполнители диверсии Асан и Азиз Ахтемовы. В июне текущего года Ахтемовы прошли в Херсоне подготовку по взрывному делу. Известно, что за совершение диверсии военная разведка Украины обещала им денежное вознаграждение около 2000 долларов США. Взрывное устройство конспиративным путем за месяц до диверсии было доставлено в Крым. Акцию планировалось приурочить ко дню независимости Украины.

 @vestiru24 ",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
2021-09-15T12:48:10Z,"Обнародованы имена причастных к диверсии на газопроводе в Крыму.

 Диверсия, по данным спецслужб, была организована подразделением украинской разведки в Херсоне, ""так называемой оперативной службой ""Таврия"" при участии членов ""Меджлиса крымско-татарского народа"" (запрещен в РФ). За проведение ""операции"" исполнителям пообещали около 2000 долларов.

Организаторами  диверсии  являются агент ГУР Риза Ягьяев-Велиулаев, а также его кураторы: сотрудник военной разведки Украины Максим Мартынюк и его непосредственный начальник, руководитель оперативной службы ""Таврия"" Виктор Зелинский.

 @vestiru24 ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11
2022-02-24T10:06:06Z,"Жители Херсонской области Украины сняли на видео разгромленную колонну воинской техники. Военные бросили ее рядом с дорогой после нанесенного российской стороной удара.

 Все новости о ситуации на Украине
 @vestiru24 ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11
2022-02-24T17:11:45Z,"❗️Минобороны России: обеспечен выход российских войск к Херсону, разблокирован Северо-Крымский канал, восстановлена подача воды в Крым.

 Все новости о ситуации на Украине
 @vestiru24 ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11
2022-02-24T17:14:35Z,"В Крыму восстановлена подача воды по Северо-Крымскому каналу.  Он был перекрыт Украиной в 2014 году после воссоединения Крыма с Россией. Вода из Херсонской области обеспечивала до 90% потребностей полуострова.

 Все новости о ситуации на Украине
 @vestiru24 ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5
2022-02-25T15:33:11Z,"Власти Херсона заявили о прорыве обороны города российскими военнослужащими, а также о потере контроля над переправой.

 Все новости о ситуации на Украине
 @vestiru24 ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11
2022-02-27T06:07:31Z,"❗️Минобороны РФ: за прошедшие сутки Вооруженные силы блокировали Херсон и Бердянск, взяты под контроль Геничевск и аэродром Чернобаевка под Херсоном.

 🔺ВС РФ уничтожили 975 объектов военной инфраструктуры Украины, среди них 23 пункта управления, 31 зенитный ракетный комплекс ПВО С-300
🔺Армия ДНР взяла под контроль Павлополь и Пищевик.
🔺Войска ЛНР при огневой поддержке ВС РФ установили контроль над населенными пунктами Новоахтырка, Смоляниново, Станично-Луганское. 
🔺Группировка войск ЛНР с начала операции продвинулась на 52 км.
🔺Накануне националисты из батальона ""Азов"" нанесли удары ""Градами"" по жилым кварталам пригорода Мариуполя и по школе в Мариуполе.
🔺302-й зенитный ракетный полк украинских войск добровольно сложил оружие, задержан 471 украинский военнослужащий.

 Все новости и прямой эфир телеканалов ""Россия 24"" и ""Россия 1"" круглосуточно и  онлайн здесь:

 📍 YouTube-канал ""Россия 24 ""
📍 ВЕСТИ в ВКонтакте
 📍 ВЕСТИ в Одноклассниках
 📍 Эфиры каналов ""Россия 1 "" и "" Россия 24"" на  Vitrina
 @vestiru24 ",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9
2022-03-02T07:04:34Z,"❗️ Минобороны РФ: российские вооруженные силы взяли под полный контроль Херсон .

 Смотрим все новости о специальной военной операции по защите ДНР и ЛНР
 @vestiru24 ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11
